id_track,name_track,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode,id_artist,publish_time,viewCount,likeCount,commentCount,followers,genres,name,popularity
0g3VYAd032Ba52kgAUNhSX,Memory Reboot - Over Slowed,6231563,0.06957,269.70557,-6.731,120.585,4,10,0,3QZtwiUoyaXbl1JssMPIQ7,25-01-2023,9331015,110739,3905,87055,[],Narvent,66
2DgL722jfzULRS4tGo5OEq,Distant Echoes,4050666,0.0,171.04399,-6.01,81.028,4,1,0,3QZtwiUoyaXbl1JssMPIQ7,15-02-2024,16191689,196808,3046,87055,[],Narvent,66
4aiOsfMfsi62QktvVEefTm,Lost Memory,3475032,5.31156,148.96762,-9.114,114.974,4,10,0,3QZtwiUoyaXbl1JssMPIQ7,28-06-2023,9609089,108845,1262,87055,[],Narvent,66
0rSRw7Okw0PdZk7ASyggQV,Memory Reboot - Sped Up,3664139,0.0,157.74477,-5.737,102.495,4,0,1,3QZtwiUoyaXbl1JssMPIQ7,01-09-2023,3100506,47182,815,87055,[],Narvent,66
6GNdm4kpMs3YHHaGyOaqik,Not Perfect,3982092,0.0,176.21043,-3.674,140.511,4,0,0,7yzEddrxGDljtj9TmeCfte,31-07-2024,16904,482,37,4121,[],zaichkou888,61
4VoVlU94ymADzbkhssSdiV,Distant Echoes - Slowed + Reverb,4786546,0.0,201.02676,-7.696,137.918,4,10,0,3QZtwiUoyaXbl1JssMPIQ7,15-02-2024,7393536,64736,962,87055,[],Narvent,66
0rD6qppNaJNGmVCzWdasNQ,HEAR ME,2707535,0.0,114.89234,-5.501,128.95,4,1,0,3QZtwiUoyaXbl1JssMPIQ7,13-01-2023,5759714,72973,1140,87055,[],Narvent,66
4QQyXwqvTF9oByQlSmWhCc,Destination,3178193,2.0956,135.3259,-5.875,128.011,4,3,0,4KRllJ2dEeoqvxOQLOgOsI,11-07-2022,277242,6338,139,254889,['traprun'],VØJ,66
1oVbTGLd8EgyeWBoqAYBD0,Vừa Hận Vừa Yêu,3467137,0.0,148.8399,-6.002,95.0,4,6,0,6NmGVS8nPcqW6tnevWF3Zg,26-06-2024,6041555,47424,1927,7746,[],Trung Tu,44
1As1VoCdyEsU9GLuHuYXXQ,Váy Cưới (Lofi Version),3561431,0.0,152.59573,-7.902,100.199,4,1,1,6NmGVS8nPcqW6tnevWF3Zg,28-10-2021,35959003,145494,2326,7746,[],Trung Tu,44
02QHHC9QXwvbQv9nsp3v4v,Vừa Hận Vừa Yêu - Lofi Version/ BFF Remix,3851454,0.0,166.70186,-8.256,84.992,4,6,0,6NmGVS8nPcqW6tnevWF3Zg,09-07-2024,100918,1106,67,7746,[],Trung Tu,44
