id_track,name_track,duration_ms,explicit,name,id_artist,release_date,popularity,followers,streams,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode
20CeXYgWoJdheBiI89QgcK,San Siro,204350,False,LFERDA,0bmKQDkU4J3gUykZS8tb6v,2024-05-10,57,1028666,725546,4505920,3.52943,197.5902,-13.928,141.984,4,8,0
7wFJmDfeb7CtN8xAr4ftSV,Douwi Douwi,182400,False,7liwa,7fmcLXdUj5tVr806b7Uzt3,2024-06-03,52,639209,944901,4021920,0.0,170.28354,-7.936,100.09,4,8,0
76qVLkjVBysfvhiNRBpY5d,مرجعليش,304367,False,Farid,5OaC42gxOxSYgfmmSxe672,2024-01-04,49,615617,383616,6711296,0.17891,300.65778,-9.409,141.961,4,0,0
27n9doXhe3B7cXmkAwrisR,Mahboubi,181638,False,Saad Lamjarred,0NjXtqYWpnV055KhfZgtuY,2024-06-17,59,2172919,143557,4005137,0.0,176.70386,-4.989,90.028,4,6,0
6hWac7EXnJnEvs4hJTpLGd,موضوع رجوعنا,266341,False,Tamer Hosny,4cGfgRmpFc9zgZMfuSXhqy,2024-02-14,60,5462170,302032,5872829,0.86082,257.0449,-7.847,81.948,4,6,1
4fGEKZBQQFFaP0KGgtYf2N,دايماً على بالي,232146,False,Elissa,68rvMwPL0yMbYR5cv0pzCR,2024-03-14,61,4537668,246377,5118834,2.11882,224.39764,-6.427,124.003,4,0,1
66xEfcpMCCim4juc0dN4Q2,خليك معاها,258333,False,Angham,0IiR4LJwslf6HBSdk9W3Dg,2024-07-28,59,2515371,471401,5696250,0.75478,250.32854,-8.181,142.746,4,0,0
1V5nOyehl22kvbNtfR53Qd,Mawahashtkesh !!? - From Hormone El Saada Album,327456,False,Tamer Hosny,4cGfgRmpFc9zgZMfuSXhqy,2024-01-09,60,5462170,662751,7220414,0.08712,317.52127,-9.853,79.228,4,7,0
5C0xjFpBtcSSA3MDRghEee,Kakashi,288979,False,7liwa,7fmcLXdUj5tVr806b7Uzt3,2024-06-23,52,639209,665788,6371999,0.0,283.4402,-7.606,98.012,4,9,1
5AjVGkFWK2Ct0B0hbdcmWJ,Vrais salauds (feat. Gazo & Kore),149000,True,Lacrim,7DUTsWY3RBd64vh8UtgtYA,2024-06-14,72,2585665,2463295,3285450,0.46544,143.74313,-5.887,124.999,4,5,0
05HQf3gXwmAb8WScNvlhEt,3am Gilo (Tab Khod Wla Enta Ma Bet3rafsh Tsed),158918,False,Hassan Shakosh,62IUrFqq28x2SbRdzm9sQt,2024-05-08,55,1807529,515283,3504157,2.16526,155.75946,-2.746,115.036,4,5,0
